10社計,,,,,,,,,,,,,,,,,,,
,,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度
水力,,,,,,,,,,,,,,,,,,,
箇所数,箇所,1159,1158,1160,1163,1162,1162,1163,1177,1183,1188,1192,1200,1207,1208,1208,1206,1200,
最大出力,ｋＷ,33766878,33794383,34270363,34286103,34579283,34887514,34897634,35282274,35601654,36094524,36119004,36832149,37215299,37196549,37220609,37225959,37234656,
汽力,,,,,,,,,,,,,,,,,,,
箇所数,箇所,84,83,83,83,83,83,83,83,83,84,83,83,81,81,80,80,55,
最大出力,ｋＷ,119427750,120238750,118838750,118462000,117542000,120083400,120950400,123024000,122533000,123974000,126181540,131030720,129587980,131435900,128866800,128202500,58316100,
ガスタービン,,,,,,,,,,,,,,,,,,,
箇所数,箇所,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,
最大出力,ｋＷ,656300,656300,512300,512300,656300,656300,656300,656300,2078700,4152200,3898500,1428700,1428700,1428700,1254700,582700,582700,
内燃力,,,,,,,,,,,,,,,,,,,
箇所数,箇所,74,74,70,69,69,68,68,68,67,68,68,68,68,68,67,66,65,
最大出力,ｋＷ,742857,745007,729263,733863,741003,742848,740738,737068,871138,910078,910508,910068,931478,922403,769793,778648,779388,
火力計,,,,,,,,,,,,,,,,,,,
箇所数,箇所,167,166,162,161,161,160,160,160,159,161,160,161,159,159,157,156,130,
最大出力,ｋＷ,120826907,121640057,120080313,119708163,118939303,121642548,122347438,124417368,125482838,129036278,130990548,133369488,131948158,133787003,130891293,129563848,59678188,
原子力,,,,,,,,,,,,,,,,,,,
箇所数,箇所,14,14,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,
最大出力,ｋＷ,43125000,44505000,46963000,46850000,46850000,45318000,46230000,46343000,46343000,43531000,41647000,41647000,39788000,39222000,36872000,35782000,30823000,
新エネルギー等,,,,,,,,,,,,,,,,,,,
箇所数,箇所,16,16,16,16,16,16,17,25,33,36,36,39,44,41,39,38,40,
最大出力,ｋＷ,488950,488950,488950,488950,488950,488950,494950,532379,580082,559082,559082,565687,585937,574837,536177,532277,540277,
その他,,,,,,,,,,,,,,,,,,,
箇所数,箇所,,,,,,,,,,,,,,,,,,
最大出力,ｋＷ,,,,,,,,,,,,,,,,,,
合計,,,,,,,,,,,,,,,,,,,
箇所数,箇所,1356,1354,1353,1355,1354,1353,1355,1377,1390,1400,1402,1414,1424,1422,1418,1414,1383,
最大出力,ｋＷ,198207735,200428390,201802626,201333216,200857536,202337012,203970022,206575021,208007574,209220884,209315634,212414324,209537394,210780389,205520079,203104084,128276121,
